DISCLAIMER: This report does not constitute legal or tax advice.
Abra makes no guarantees regarding the accuracy of this report and will not offer advice for your specific tax circumstances as laws and regulations change frequently and vary from country to country.
By using this report you disclaim Abra from any responsibility for the accuracy or adequacy of any positions taken by you in your tax reporting obligations. Please consult a professional tax advisor.

If you have multiple Abra wallets you will need to request reports for each wallet separately. Contact support@abra.com if you need help.
Transactions with implicit exchange currency conversions are split into multiple rows.
Your home currency is derived based on your provided phone number.

Please note there may be small rounding errors.

User ID: 34343434
Name: John Doe
Email: john@doe.com
Home Currency: USD

Transaction date (UTC),Transaction ID,Transaction type,Description,Product,Gross Quantity,Network Fees,Net Quantity,Rate (USD),Net Amount (USD)
2018-06-19 14:16:17,8DXPZCZ,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-06-19 15:53:52,QF2KNQQ,Sell,Asset exchange: sell DGB,DGB,16661.2509,0,16661.2509,1 DGB = 0.0280773 USD,467.80
2018-06-19 15:53:52,QF2KNQQ,Buy,Asset exchange: buy USD,USD,460.88,0,460.88,1 USD = 1 USD,460.88
2018-06-21 00:11:25,A537LXF,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-07-02 12:30:17,T2VWXYC,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-07-07 11:44:57,8AU9UZW,Inbound Transfer,Bank deposit from Other,USD,250,0,250,1 USD = 1 USD,250.00
2018-07-14 02:37:10,R6R2LYY,Sell,Asset exchange: sell USD,USD,1510.88,0,1510.88,1 USD = 1 USD,1510.88
2018-07-14 02:37:10,R6R2LYY,Buy,Asset exchange: buy DGB,DGB,42053.07848,0,42053.07848,1 DGB = 0.03538891 USD,1488.21
2018-07-16 00:12:22,2PEJ31Y,Sell,Asset exchange: sell DGB,DGB,42053.07848,0,42053.07848,1 DGB = 0.03782962 USD,1590.85
2018-07-16 00:12:22,2PEJ31Y,Buy,Asset exchange: buy USD,USD,1567.34,0,1567.34,1 USD = 1 USD,1567.34
2018-07-18 13:26:13,GEMGGK7,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-07-18 14:56:07,BRJ18FR,Sell,Asset exchange: sell USD,USD,1767.34,0,1767.34,1 USD = 1 USD,1767.34
2018-07-18 14:56:07,BRJ18FR,Buy,Asset exchange: buy DGB,DGB,40576.005592,0,40576.005592,1 DGB = 0.04290301 USD,1740.83
2018-07-24 11:57:59,2NTL3GE,Sell,Asset exchange: sell DGB,DGB,40576.005592,0,40576.005592,1 DGB = 0.04622724 USD,1875.72
2018-07-24 11:57:59,2NTL3GE,Buy,Asset exchange: buy USD,USD,1847.99,0,1847.99,1 USD = 1 USD,1847.99
2018-07-24 11:58:44,53WJAWW,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-07-26 13:08:48,3AAD1GA,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-07-27 01:09:31,EACK1HH,Sell,Asset exchange: sell USD,USD,2247.99,0,2247.99,1 USD = 1 USD,2247.99
2018-07-27 01:09:31,EACK1HH,Buy,Asset exchange: buy DGB,DGB,55549.406493,0,55549.406493,1 DGB = 0.03986131 USD,2214.27
2018-07-29 12:50:33,RJTNNMH,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-07-29 18:38:02,PDDKXPC,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-07-29 18:38:02,PDDKXPC,Buy,Asset exchange: buy DGB,DGB,4731.62,0,4731.62,1 DGB = 0.04163482 USD,197.00
2018-08-03 00:47:28,FH3R8J7,Sell,Asset exchange: sell DGB,DGB,60281.026493,0,60281.026493,1 DGB = 0.03447873 USD,2078.41
2018-08-03 00:47:28,FH3R8J7,Buy,Asset exchange: buy USD,USD,2047.69,0,2047.69,1 USD = 1 USD,2047.69
2018-08-03 17:39:44,LBGVJVY,Sell,Asset exchange: sell USD,USD,2047.69,0,2047.69,1 USD = 1 USD,2047.69
2018-08-03 17:39:44,LBGVJVY,Buy,Asset exchange: buy DGB,DGB,57680.765303,0,57680.765303,1 DGB = 0.03496791 USD,2016.98
2018-08-06 14:41:17,12ZA2BL,Sell,Asset exchange: sell DGB,DGB,57680.765303,0,57680.765303,1 DGB = 0.03197941 USD,1844.60
2018-08-06 14:41:17,12ZA2BL,Buy,Asset exchange: buy USD,USD,1817.33,0,1817.33,1 USD = 1 USD,1817.33
2018-08-08 09:23:14,CU2GT94,Sell,Asset exchange: sell USD,USD,1817.33,0,1817.33,1 USD = 1 USD,1817.33
2018-08-08 09:23:14,CU2GT94,Buy,Asset exchange: buy DGB,DGB,61539.337125,0,61539.337125,1 DGB = 0.02908819 USD,1790.07
2018-09-01 16:35:17,J1WBBGS,Sell,Asset exchange: sell DGB,DGB,61539.337125,0,61539.337125,1 DGB = 0.03274708 USD,2015.23
2018-09-01 16:35:17,J1WBBGS,Buy,Asset exchange: buy USD,USD,1985.44,0,1985.44,1 USD = 1 USD,1985.44
2018-09-03 23:57:05,NSBC1SL,Sell,Asset exchange: sell USD,USD,1985.44,0,1985.44,1 USD = 1 USD,1985.44
2018-09-03 23:57:05,NSBC1SL,Buy,Asset exchange: buy DGB,DGB,61908.99736,0,61908.99736,1 DGB = 0.03158931 USD,1955.66
2018-09-03 23:59:12,GZ8YVP4,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-09-04 05:22:55,X15M3T1,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-09-04 05:22:55,X15M3T1,Buy,Asset exchange: buy DGB,DGB,6278.76,0,6278.76,1 DGB = 0.03137556 USD,197.00
2018-09-13 13:12:30,L45SPDA,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-09-13 14:06:50,ECPQEGF,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-09-13 14:06:50,ECPQEGF,Buy,Asset exchange: buy DGB,DGB,8154.1,0,8154.1,1 DGB = 0.02415961 USD,197.00
2018-10-24 04:46:24,Q2E25VC,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-10-24 05:27:01,PFM16T9,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-10-24 05:27:01,PFM16T9,Buy,Asset exchange: buy DGB,DGB,8941.32,0,8941.32,1 DGB = 0.02203254 USD,197.00
2018-11-06 04:09:31,XFTVRA9,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-11-06 13:12:09,L3C8FZK,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-11-06 13:12:09,L3C8FZK,Buy,Asset exchange: buy DGB,DGB,9381.38,0,9381.38,1 DGB = 0.02099907 USD,197.00
2018-11-07 13:09:38,V4M1VP7,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-11-08 05:08:29,ETCYJC8,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-11-08 05:08:29,ETCYJC8,Buy,Asset exchange: buy DGB,DGB,9362.9,0,9362.9,1 DGB = 0.0210405 USD,197.00
2018-11-09 01:53:00,QWZ4BPS,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-11-09 12:19:18,87A93A4,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-11-09 12:19:18,87A93A4,Buy,Asset exchange: buy DGB,DGB,9673.36,0,9673.36,1 DGB = 0.02036517 USD,197.00
2018-11-13 02:56:34,PDBM6YT,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-11-13 12:40:21,5234JAT,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-11-13 12:40:21,5234JAT,Buy,Asset exchange: buy DGB,DGB,10309,0,10309,1 DGB = 0.01910955 USD,197.00
2018-11-19 01:15:26,P8CMV72,Sell,Asset exchange: sell DGB,DGB,124009.81736,0,124009.81736,1 DGB = 0.01631712 USD,2023.48
2018-11-19 01:15:26,P8CMV72,Buy,Asset exchange: buy USD,USD,1993.57,0,1993.57,1 USD = 1 USD,1993.57
2018-11-19 15:04:05,J5KRNT2,Sell,Asset exchange: sell USD,USD,1993.57,0,1993.57,1 USD = 1 USD,1993.57
2018-11-19 15:04:05,J5KRNT2,Buy,Asset exchange: buy DGB,DGB,139807.07053,0,139807.07053,1 DGB = 0.01404554 USD,1963.67
2018-11-23 06:26:59,A9R84ZG,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-11-24 12:29:48,A9LPNVN,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-11-24 12:29:48,A9LPNVN,Buy,Asset exchange: buy DGB,DGB,17285.54,0,17285.54,1 DGB = 0.0113968 USD,197.00
2018-12-03 02:49:15,KGTPDSP,Sell,Asset exchange: sell DGB,DGB,157092.61053,0,157092.61053,1 DGB = 0.01241582 USD,1950.43
2018-12-03 02:49:15,KGTPDSP,Buy,Asset exchange: buy USD,USD,1921.61,0,1921.61,1 USD = 1 USD,1921.61
2018-12-05 16:50:06,WA9FS1S,Sell,Asset exchange: sell USD,USD,1921.61,0,1921.61,1 USD = 1 USD,1921.61
2018-12-05 16:50:06,WA9FS1S,Buy,Asset exchange: buy DGB,DGB,167604.553649,0,167604.553649,1 DGB = 0.01129317 USD,1892.79
2018-12-05 23:31:51,NB4HX47,Sell,Asset exchange: sell DGB,DGB,167604.553649,0,167604.553649,1 DGB = 0.01062672 USD,1781.09
2018-12-05 23:31:51,NB4HX47,Buy,Asset exchange: buy USD,USD,1754.76,0,1754.76,1 USD = 1 USD,1754.76
2018-12-07 00:06:46,D1NMLML,Sell,Asset exchange: sell USD,USD,1754.76,0,1754.76,1 USD = 1 USD,1754.76
2018-12-07 00:06:46,D1NMLML,Buy,Asset exchange: buy DGB,DGB,176534.12028,0,176534.12028,1 DGB = 0.00979096 USD,1728.44
2018-12-07 01:24:01,JE866T7,Sell,Asset exchange: sell DGB,DGB,176534.12028,0,176534.12028,1 DGB = 0.00996494 USD,1759.15
2018-12-07 01:24:01,JE866T7,Buy,Asset exchange: buy USD,USD,1733.15,0,1733.15,1 USD = 1 USD,1733.15
2018-12-07 17:29:04,Q6W54CE,Sell,Asset exchange: sell USD,USD,1733.15,0,1733.15,1 USD = 1 USD,1733.15
2018-12-07 17:29:04,Q6W54CE,Buy,Asset exchange: buy DGB,DGB,188919.24271,0,188919.24271,1 DGB = 0.00903641 USD,1707.15
2018-12-07 17:30:26,Q7AAAZ6,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-12-07 17:40:15,76539S3,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-12-07 17:40:15,76539S3,Buy,Asset exchange: buy DGB,DGB,21629.2,0,21629.2,1 DGB = 0.00910806 USD,197.00
2018-12-12 13:18:38,9XNFWKJ,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-12-12 22:46:42,MK4HDEC,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-12-12 22:46:42,MK4HDEC,Buy,Asset exchange: buy DGB,DGB,22833.18,0,22833.18,1 DGB = 0.00862779 USD,197.00
2018-12-13 20:23:30,843F2CF,Sell,Asset exchange: sell DGB,DGB,233381.62271,0,233381.62271,1 DGB = 0.00790467 USD,1844.80
2018-12-13 20:23:30,843F2CF,Buy,Asset exchange: buy USD,USD,1817.54,0,1817.54,1 USD = 1 USD,1817.54
2018-12-18 13:39:32,U8B7UWK,Sell,Asset exchange: sell USD,USD,1817.54,0,1817.54,1 USD = 1 USD,1817.54
2018-12-18 13:39:32,U8B7UWK,Buy,Asset exchange: buy DGB,DGB,174638.694408,0,174638.694408,1 DGB = 0.01025132 USD,1790.28
